"word","freq"
"the",2368
"of",1113
"to",1003
"a",955
"and",780
"in",730
"is",436
"that",406
"i",384
"you",371
"for",357
"on",348
"l",330
"are",302
"it",255
"be",245
"e",229
"c",198
"they",190
"with",187
"about",183
"o",181
"was",181
"we",175
"as",172
"by",171
"at",168
"or",166
"this",164
"but",163
"from",157
"d",155
"have",151
"he",148
"t",147
"questions",143
"an",142
"so",141
"what",141
"which",139
"b",136
"one",127
"s",127
"some",126
"r",125
"your",123
"not",120
"reading",120
"all",116
"do",115
"if",114
"there",113
"answer",112
"can",111
"j",105
"their",105
"people",97
"test",95
"more",92
"will",89
"has",87
"were",87
"how",80
"no",79
"write",79
"f",73
"had",72
"two",72
"use",72
"when",71
"information",70
"only",70
"it's",69
"our",69
"each",68
"g",68
"other",68
"different",67
"them",64
"well",64
"who",64
"writing",63
"into",62
"than",62
"would",62
"language",61
"these",61
"now",60
"right",60
"should",60
"com",59
"u",59
"used",59
"also",58
"been",58
"like",58
"score",58
"time",58
"below",57
"most",57
"passage",57
"section",57
"silk",57
"its",53
"then",53
"think",53
"up",53
"example",52
"may",52
"could",51
"that's",51
"me",50
"need",50
"h",49
"just",49
"task",49
"get",48
"make",48
"re",46
"very",46
"why",46
"go",45
"out",44
"ho",43
"listening",43
"n",43
"study",43
"part",42
"take",42
"minutes",41
"see",41
"where",41
"many",40
"correct",39
"number",39
"sheet",39
"first",38
"before",37
"building",37
"even",37
"film",37
"under",37
"yes",37
"acceptable",36
"any",36
"carbon",36
"good",36
"research",36
"such",36
"find",35
"new",35
"way",35
"candidate",34
"choose",34
"species",34
"work",34
"boxes",33
"co",33
"here",33
"m",33
"answers",32
"letter",32
"might",32
"music",32
"spend",32
"word",32
"because",31
"did",31
"given",31
"however",31
"made",31
"roger",31
"sample",31
"sound",31
"main",30
"something",30
"art",29
"between",29
"conditions",29
"over",29
"years",29
"her",28
"look",28
"lot",28
"my",28
"own",28
"she",28
"being",27
"following",27
"p",27
"same",27
"soil",27
"us",27
"using",27
"w",27
"water",27
"words",27
"during",26
"examination",26
"mathematics",26
"much",26
"researchers",26
"students",26
"year",26
"complete",25
"give",25
"home",25
"next",25
"say",25
"too",25
"true",25
"wheel",25
"band",24
"based",24
"engineering",24
"few",24
"food",24
"found",24
"often",24
"place",24
