"word","freq"
"the",2084
"of",1218
"to",904
"in",900
"and",876
"a",847
"for",406
"that",392
"on",360
"is",340
"are",292
"as",256
"with",246
"s",236
"it",229
"questions",220
"you",220
"be",206
"or",206
"have",198
"their",198
"about",196
"they",185
"from",180
"play",180
"this",174
"at",166
"can",166
"was",162
"what",160
"reading",146
"which",146
"people",144
"your",140
"by",134
"how",132
"write",130
"children",128
"b",124
"answer",122
"c",117
"more",116
"has",114
"do",110
"an",108
"e",108
"information",104
"why",104
"passage",100
"work",100
"he",98
"one",98
"if",94
"test",94
"we",92
"x",91
"should",90
"but",88
"other",88
"than",88
"these",88
"will",88
"not",84
"there",82
"below",80
"choose",78
"each",78
"some",78
"two",78
"were",78
"many",74
"when",72
"may",70
"sheet",68
"t",68
"d",67
"all",66
"boxes",66
"correct",66
"example",66
"following",66
"make",65
"also",64
"ants",64
"been",64
"his",64
"theories",64
"animals",62
"had",62
"only",62
"o",60
"bike",56
"research",56
"section",56
"up",56
"who",56
"insects",54
"out",54
"child",52
"g",52
"letter",52
"species",52
"use",52
"would",52
"any",50
"says",50
"zoos",50
"minutes",48
"i",47
"first",46
"her",46
"our",46
"spend",46
"well",46
"building",44
"debris",44
"f",44
"part",44
"sharing",44
"she",44
"such",44
"task",44
"them",44
"time",44
"writing",44
"found",42
"implicit",42
"intelligence",42
"ocean",42
"scheme",42
"statement",42
"think",42
"world",42
"based",40
"compounds",40
"given",40
"most",40
"say",40
"studies",40
"wild",40
"word",40
"complete",38
"could",38
"different",38
"learning",38
"answers",36
"city",36
"employees",36
"short",36
"used",36
"very",36
"air",34
"approach",34
"good",34
"made",34
"over",34
"staff",34
"working",34
"because",32
"between",32
"day",32
"energy",32
"letters",32
"life",32
"much",32
"no",32
"number",32
"problem",32
"through",32
"useful",32
"agree",30
"around",30
"does",30
"future",30
"into",30
"like",30
"listening",30
"often",30
"own",30
"problems",30
"so",30
"where",30
"buildings",28
"century",28
"environment",28
"give",28
"help",28
"important",28
"live",28
"old",28
"plastic",28
"provide",28
"social",28
"statements",28
"study",28
"view",28
"while",28
"age",26
"animal",26
"bikes",26
"books",26
"business",26
"group",26
"high",26
"home",26
"include",26
"marine",26
"playful",26
"researchers",26
"things",26
"those",26
"writer",26
"new",25
"adults",24
"being",24
"cities",24
"development",24
"difficult",24
"fun",24
"h",24
"however",24
"just",24
"large",24
"least",24
"order",24
"others",24
"possible",24
"rather",24
"scientists",24
"using",24
"company",23
"activities",22
"although",22
"better",22
"conditions",22
"designed",22
"even",22
"find",22
"human",22
"idea",22
"involved",22
"its",22
"knowledge",22
"lives",22
"might",22
"parents",22
"take",22
"themselves",22
"then",22
"today",22
"university",22
"years",22
"agrees",20
"another",20
"design",20
"early",20
"get",20
"hotel",20
"impact",20
"industry",20
"main",20
"management",20
"need",20
"public",20
"really",20
"recent",20
"set",20
"success",20
"way",20
"white",20
"words",20
"almost",18
"called",18
"castle",18
"certain",18
"change",18
