"word","freq"
"the",2364
"of",1226
"to",1142
"a",1063
"and",798
"in",743
"that",472
"on",387
"for",338
"is",320
"with",280
"it",267
"as",248
"are",232
"you",226
"they",223
"was",220
"from",210
"by",190
"their",188
"questions",186
"b",182
"be",182
"about",180
"s",177
"this",172
"or",166
"at",164
"have",164
"more",162
"c",154
"which",154
"an",148
"your",146
"what",144
"one",137
"people",130
"were",126
"reading",122
"has",120
"its",116
"can",112
"answer",106
"write",106
"but",104
"why",100
"d",96
"when",94
"may",92
"should",92
"do",90
"had",90
"if",90
"below",88
"how",88
"passage",88
"test",88
"x",87
"he",86
"new",86
"correct",84
"each",84
"information",84
"who",84
"we",83
"e",81
"not",81
"soil",80
"boredom",78
"could",78
"other",78
"some",78
"been",76
"letter",76
"than",76
"use",76
"his",72
"only",72
"there",72
"also",70
"found",70
"sheet",64
"two",64
"boxes",62
"make",62
"most",62
"used",62
"university",61
"all",60
"research",60
"work",60
"choose",58
"human",58
"cinnamon",56
"out",56
"between",54
"happiness",54
"time",54
"different",52
"minutes",52
"them",52
"will",52
"example",48
"following",48
"g",48
"many",48
"part",48
"talk",48
"those",48
"any",46
"does",46
"f",46
"such",46
"way",46
"world",45
"baby",44
"complete",44
"she",44
"study",44
"these",44
"babies",42
"coconut",42
"social",42
"listening",40
"our",40
"says",40
"so",40
"spend",40
"t",40
"where",40
"art",38
"because",38
"into",38
"like",38
"think",38
"website",38
"century",36
"computer",36
"list",36
"own",36
"studies",36
"up",36
"food",34
"help",34
"her",34
"say",34
"task",34
"after",32
"based",32
"company",32
"country",32
"given",32
"over",32
"same",32
"speech",32
"statement",32
"trade",32
"visitors",32
"whether",32
"word",32
"words",32
"years",32
"agree",30
"before",30
"coffee",30
"first",30
"o",30
"researchers",30
"very",30
"water",30
"would",30
"i",29
"ship",29
"answers",28
"effects",28
"life",28
"made",28
"much",28
"paragraph",28
"parents",28
"problems",28
"section",28
"strategy",28
"team",28
"then",28
"us",28
"using",28
"writing",28
"year",28
"no",27
"according",26
"being",26
"change",26
"city",26
"day",26
"even",26
"give",26
"humans",26
"important",26
"less",26
"long",26
"lot",26
"might",26
"often",26
"positive",26
"public",26
"tourism",26
"trends",26
"activities",24
"animals",24
"another",24
"attention",24
"both",24
"changes",24
"coconuts",24
"consumers",24
"high",24
"ideas",24
"language",24
"main",24
"once",24
"others",24
"produce",24
"take",24
"things",24
"topic",24
"training",24
"ways",24
"well",24
"while",24
"writer",24
"category",23
"climate",22
"dutch",22
"experience",22
"future",22
"however",22
"problem",22
"skills",22
"spice",22
"technology",22
"types",22
"person",21
"age",20
"around",20
"became",20
"business",20
"carried",20
"impact",20
"known",20
"least",20
"product",20
"products",20
"provide",20
"seed",20
"ships",20
"software",20
"sounds",20
"start",20
"still",20
"too",20
"topics",20
"travel",20
"trend",20
"type",20
"cope",19
"early",19
"accommodation",18
"aspects",18
"certain",18
"children",18
"create",18
"degradation",18
"development",18
"did",18
"discussion",18
"evidence",18
"good",18
"him",18
"home",18
"idea",18
"kind",18
"layer",18
"look",18
"money",18
"now",18
"number",18
"ow",18
"plants",18
"project",18
"relevant",18
"results",18
"small",18
"special",18
"suggests",18
"took",18
"urban",18
"view",18
"ability",16
"agrees",16
"best",16
"brain",16
"came",16
"captain",16
"china",16
"coach",16
"consumer",16
"core",16
"digital",16
"discovered",16
"during",16
"finding",16
"findings",16
"great",16
"hormone",16
"just",16
"little",16
"major",16
"making",16
"middle",16
"notes",16
"painting",16
"participants",16
"parts",16
"past",16
"points",16
"produced",16
"reasons",16
"region",16
"related",16
"school",16
"set",16
"show",16
"shows",16
"sound",16
"source",16
"speaking",16
"sports",16
"state",16
"statements",16
"steam",16
"system",16
"thought",16
"top",16
"traffic",16
"trees",16
"true",16
"trying",16
"various",16
"want",16
"ever",15
"activity",14
"addition",14
"allowed",14
"always",14
"ancient",14
"archaeological",14
"areas",14
"arrived",14
"back",14
"become",14
"book",14
"built",14
"creative",14
"damage",14
"device",14
"doing",14
"emotions",14
"environmental",14
"explain",14
"fact",14
"few",14
"five",14
"focus",14
"get",14
"going",14
"governments",14
"growing",14
"h",14
"history",14
"improve",14
"industry",14
"infants",14
"john",14
"journey",14
"large",14
"lead",14
"managers",14
"music",14
"per",14
"physical",14
"pleasure",14
"possible",14
"presentation",14
"process",14
"range",14
"science",14
"six",14
"soils",14
"south",14
"started",14
"suggest",14
"times",14
"today",14
"together",14
"transport",14
"value",14
"wild",14
"brand",13
"fool",13
"plant",13
"approach",12
"began",12
"better",12
"cities",12
"claims",12
"coast",12
"communication",12
"companies",12
"computers",12
"consider",12
"contradicts",12
"control",12
"course",12
"creativity",12
"customers",12
"data",12
"developed",12
"dyes",12
"economic",12
"end",12
"familiar",12
"features",12
"follow",12
"form",12
"further",12
"games",12
"go",12
"government",12
"group",12
"grown",12
"importance",12
"increased",12
"increasing",12
"interested",12
"island",12
"job",12
"lack",12
"larger",12
"led",12
"letters",12
"level",12
"living",12
"local",12
"longer",12
"makes",12
"media",12
"month",12
"native",12
"obvious",12
"order",12
"original",12
"particularly",12
"period",12
"previous",12
"psychology",12
"put",12
"quality",12
"recent",12
"sailing",12
"scale",12
"scientists",12
"society",12
"sometimes",12
